NA, FW_VERSION, FW_DATE 
HP8722ES,07.66,"Jul 25, 2000"
DATE, TIME,
"21 Nov 2001 ","14:47:39",
CHAN,MEAS,FORMAT
1,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,13000000000,
POINTS, POWER, IF_BW
201,-1.076E1,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-1.668,
114750000,-4.211,
179500000,-6.910,
244250000,-10.044,
309000000,-4.827,
373750000,-6.664,
438500000,-4.947,
503250000,-2.401,
568000000,-1.130,
632750000,-1.541,
697500000,-1.603,
762250000,-1.638,
827000000,-1.260,
891750000,-1.402,
956500000,-1.691,
1021250000,-1.764,
1086000000,-1.389,
1150750000,-.891,
1215500000,-.978,
1280250000,-1.090,
1345000000,-1.363,
1409750000,-1.198,
1474500000,-1.050,
1539250000,-1.220,
1604000000,-1.476,
1668750000,-1.254,
1733500000,-1.156,
1798250000,-1.268,
1863000000,-1.470,
1927750000,-2.041,
1992500000,-2.199,
2057250000,-2.219,
2122000000,-1.861,
2186750000,-1.966,
2251500000,-2.079,
2316250000,-1.904,
2381000000,-1.792,
2445750000,-2.209,
2510500000,-2.022,
2575250000,-2.779,
2640000000,-2.892,
2704750000,-2.684,
2769500000,-2.866,
2834250000,-2.790,
2899000000,-2.619,
2963750000,-2.883,
3028500000,-2.931,
3093250000,-2.778,
3158000000,-2.535,
3222750000,-2.406,
3287500000,-2.670,
3352250000,-1.942,
3417000000,-1.532,
3481750000,-1.262,
3546500000,-.965,
3611250000,-1.101,
3676000000,-1.639,
3740750000,-1.919,
3805500000,-2.333,
3870250000,-2.263,
3935000000,-2.522,
3999750000,-2.568,
4064500000,-2.627,
4129250000,-2.932,
4194000000,-2.720,
4258750000,-2.742,
4323500000,-3.240,
4388250000,-2.982,
4453000000,-3.096,
4517750000,-3.251,
4582500000,-3.351,
4647250000,-3.318,
4712000000,-3.081,
4776750000,-3.303,
4841500000,-3.151,
4906250000,-3.304,
4971000000,-3.153,
5035750000,-3.187,
5100500000,-3.284,
5165250000,-3.185,
5230000000,-3.413,
5294750000,-3.267,
5359500000,-3.401,
5424250000,-3.619,
5489000000,-3.254,
5553750000,-3.600,
5618500000,-3.823,
5683250000,-3.616,
5748000000,-3.774,
5812750000,-3.756,
5877500000,-3.819,
5942250000,-3.514,
6007000000,-3.490,
6071750000,-3.754,
6136500000,-3.471,
6201250000,-3.492,
6266000000,-3.683,
6330750000,-3.377,
6395500000,-3.649,
6460250000,-3.757,
6525000000,-3.592,
6589750000,-3.742,
6654500000,-3.801,
6719250000,-3.888,
6784000000,-3.654,
6848750000,-3.912,
6913500000,-4.010,
6978250000,-3.630,
7043000000,-3.825,
7107750000,-4.017,
7172500000,-3.750,
7237250000,-3.871,
7302000000,-3.862,
7366750000,-3.870,
7431500000,-3.843,
7496250000,-3.893,
7561000000,-4.134,
7625750000,-3.801,
7690500000,-3.799,
7755250000,-4.041,
7820000000,-3.735,
7884750000,-3.987,
7949500000,-4.311,
8014250000,-4.054,
8079000000,-4.173,
8143750000,-4.268,
8208500000,-4.341,
8273250000,-4.238,
8338000000,-4.465,
8402750000,-4.166,
8467500000,-4.281,
8532250000,-4.449,
8597000000,-4.655,
8661750000,-4.634,
8726500000,-4.194,
8791250000,-4.597,
8856000000,-4.435,
8920750000,-4.263,
8985500000,-4.616,
9050250000,-4.435,
9115000000,-4.225,
9179750000,-4.445,
9244500000,-4.202,
9309250000,-4.239,
9374000000,-4.256,
9438750000,-4.491,
9503500000,-4.297,
9568250000,-4.199,
9633000000,-4.487,
9697750000,-4.368,
9762500000,-4.067,
9827250000,-4.301,
9892000000,-4.185,
9956750000,-4.163,
10021500000,-4.387,
10086250000,-4.460,
10151000000,-4.350,
10215750000,-4.259,
10280500000,-4.499,
10345250000,-4.307,
10410000000,-4.058,
10474750000,-4.518,
10539500000,-5.137,
10604250000,-6.054,
10669000000,-6.421,
10733750000,-5.475,
10798500000,-4.812,
10863250000,-5.608,
10928000000,-6.428,
10992750000,-6.492,
11057500000,-6.410,
11122250000,-7.141,
11187000000,-7.912,
11251750000,-7.622,
11316500000,-7.263,
11381250000,-5.766,
11446000000,-6.044,
11510750000,-7.216,
11575500000,-7.418,
11640250000,-8.510,
11705000000,-8.960,
11769750000,-9.073,
11834500000,-9.772,
11899250000,-9.151,
11964000000,-8.512,
12028750000,-8.503,
12093500000,-8.412,
12158250000,-8.059,
12223000000,-7.063,
12287750000,-7.609,
12352500000,-8.583,
12417250000,-8.904,
12482000000,-9.990,
12546750000,-11.539,
12611500000,-15.61,
12676250000,-20.136,
12741000000,-21.047,
12805750000,-17.158,
12870500000,-14.328,
12935250000,-13.065,
13000000000,-13.448,

