NA, FW_VERSION
HP8722ES,7.66
DATE, TIME
 5 Dec 2001 ,12:01:29
CHAN,MEAS
1,S21
CHAN_START_FREQ,CHAN_STOP_FREQ
50000000,13000000000
POINTS, POWER
201,-1.00E+01
FREQUENCY,UNITS
Hz,deg
50000000,1.72E+02
114750000,1.80E+02
179500000,1.83E+02
244250000,1.84E+02
309000000,1.80E+02
373750000,1.77E+02
438500000,1.79E+02
503250000,1.81E+02
568000000,1.81E+02
632750000,1.77E+02
697500000,1.81E+02
762250000,1.82E+02
827000000,1.83E+02
891750000,1.79E+02
956500000,1.82E+02
1021250000,1.81E+02
1086000000,1.81E+02
1150750000,1.81E+02
1215500000,1.81E+02
1280250000,1.81E+02
1345000000,1.80E+02
1409750000,1.80E+02
1474500000,1.78E+02
1539250000,1.79E+02
1604000000,1.78E+02
1668750000,1.79E+02
1733500000,1.78E+02
1798250000,1.78E+02
1863000000,1.77E+02
1927750000,1.78E+02
1992500000,1.79E+02
2057250000,1.78E+02
2122000000,1.77E+02
2186750000,1.75E+02
2251500000,1.80E+02
2316250000,1.79E+02
2381000000,1.79E+02
2445750000,1.77E+02
2510500000,1.81E+02
2575250000,1.80E+02
2640000000,1.80E+02
2704750000,1.80E+02
2769500000,1.80E+02
2834250000,1.81E+02
2899000000,1.81E+02
2963750000,1.82E+02
3028500000,1.82E+02
3093250000,1.81E+02
3158000000,1.81E+02
3222750000,1.82E+02
3287500000,1.81E+02
3352250000,1.82E+02
3417000000,1.82E+02
3481750000,1.82E+02
3546500000,1.80E+02
3611250000,1.83E+02
3676000000,1.83E+02
3740750000,1.81E+02
3805500000,1.80E+02
3870250000,1.83E+02
3935000000,1.83E+02
3999750000,1.82E+02
4064500000,1.81E+02
4129250000,1.82E+02
4194000000,1.82E+02
4258750000,1.82E+02
4323500000,1.81E+02
4388250000,1.81E+02
4453000000,1.82E+02
4517750000,1.81E+02
4582500000,1.81E+02
4647250000,1.80E+02
4712000000,1.82E+02
4776750000,1.81E+02
4841500000,1.80E+02
4906250000,1.80E+02
4971000000,1.81E+02
5035750000,1.81E+02
5100500000,1.81E+02
5165250000,1.81E+02
5230000000,1.81E+02
5294750000,1.81E+02
5359500000,1.82E+02
5424250000,1.82E+02
5489000000,1.81E+02
5553750000,1.81E+02
5618500000,1.81E+02
5683250000,1.81E+02
5748000000,1.83E+02
5812750000,1.81E+02
5877500000,1.81E+02
5942250000,1.82E+02
6007000000,1.82E+02
6071750000,1.82E+02
6136500000,1.82E+02
6201250000,1.82E+02
6266000000,1.82E+02
6330750000,1.83E+02
6395500000,1.83E+02
6460250000,1.82E+02
6525000000,1.82E+02
6589750000,1.83E+02
6654500000,1.83E+02
6719250000,1.82E+02
6784000000,1.83E+02
6848750000,1.82E+02
6913500000,1.82E+02
6978250000,1.82E+02
7043000000,1.82E+02
7107750000,1.82E+02
7172500000,1.82E+02
7237250000,1.83E+02
7302000000,1.82E+02
7366750000,1.82E+02
7431500000,1.83E+02
7496250000,1.83E+02
7561000000,1.82E+02
7625750000,1.82E+02
7690500000,1.83E+02
7755250000,1.82E+02
7820000000,1.82E+02
7884750000,1.82E+02
7949500000,1.81E+02
8014250000,1.80E+02
8079000000,1.81E+02
8143750000,1.80E+02
8208500000,1.78E+02
8273250000,1.80E+02
8338000000,1.79E+02
8402750000,1.78E+02
8467500000,1.79E+02
8532250000,1.78E+02
8597000000,1.76E+02
8661750000,1.77E+02
8726500000,1.78E+02
8791250000,1.78E+02
8856000000,1.77E+02
8920750000,1.77E+02
8985500000,1.76E+02
9050250000,1.78E+02
9115000000,1.76E+02
9179750000,1.77E+02
9244500000,1.78E+02
9309250000,1.78E+02
9374000000,1.78E+02
9438750000,1.78E+02
9503500000,1.78E+02
9568250000,1.79E+02
9633000000,1.79E+02
9697750000,1.78E+02
9762500000,1.80E+02
9827250000,1.79E+02
9892000000,1.79E+02
9956750000,1.80E+02
10021500000,1.79E+02
10086250000,1.79E+02
10151000000,1.82E+02
10215750000,1.81E+02
10280500000,1.79E+02
10345250000,1.82E+02
10410000000,1.82E+02
10474750000,1.79E+02
10539500000,1.79E+02
10604250000,1.77E+02
10669000000,1.76E+02
10733750000,1.82E+02
10798500000,1.81E+02
10863250000,1.78E+02
10928000000,1.83E+02
10992750000,1.85E+02
11057500000,1.82E+02
11122250000,1.76E+02
11187000000,1.74E+02
11251750000,1.77E+02
11316500000,1.80E+02
11381250000,1.83E+02
11446000000,1.81E+02
11510750000,1.82E+02
11575500000,1.88E+02
11640250000,1.85E+02
11705000000,1.79E+02
11769750000,1.75E+02
11834500000,1.75E+02
11899250000,1.80E+02
11964000000,1.85E+02
12028750000,1.88E+02
12093500000,1.86E+02
12158250000,1.82E+02
12223000000,1.85E+02
12287750000,1.84E+02
12352500000,1.82E+02
12417250000,1.84E+02
12482000000,1.85E+02
12546750000,1.89E+02
12611500000,1.90E+02
12676250000,1.84E+02
12741000000,1.83E+02
12805750000,1.82E+02
12870500000,1.83E+02
12935250000,1.85E+02
13000000000,1.88E+02
