Variation,coupleroffset,gapoffset,trackoffset,Start,Stop,Elapsed,Analysis Machine
1,0mm,0mm,0mm,03:33:11:363,03:45:09:436,00:11:58:073,Local   Machine
2,0.0302445137485542mm,0mm,0mm,03:45:09:488,03:55:22:657,00:10:13:169,Local   Machine
3,0mm,0.0604890274971083mm,0mm,03:55:22:708,04:05:58:727,00:10:36:019,Local   Machine
4,0mm,0mm,0.0604890274971083mm,04:05:58:779,04:15:43:846,00:09:45:067,Local   Machine
5,0mm,-0.0604890274971083mm,0mm,04:15:43:901,04:25:48:291,00:10:04:390,Local   Machine
6,-0.2mm,-0.000231031527748429mm,0.165807450860102mm,04:25:48:348,04:37:34:386,00:11:46:038,Local   Machine
7,-0.0388847570955834mm,-4.49180241895961e-05mm,0.0322369122566648mm,04:37:34:445,04:48:06:896,00:10:32:451,Local   Machine
8,0.0301031280166244mm,0mm,0.0604890274971083mm,04:48:06:960,04:58:22:147,00:10:15:187,Local   Machine
9,0mm,0.028894990583642mm,0.0604890274971083mm,04:58:22:211,05:08:46:532,00:10:24:321,Local   Machine
10,0mm,0mm,0.120695283530357mm,05:08:46:591,05:19:38:254,00:10:51:663,Local   Machine
11,0mm,-0.028894990583642mm,0.0604890274971083mm,05:19:38:316,05:30:21:494,00:10:43:178,Local   Machine
12,0.2mm,0.0101991614083949mm,-0.125266485971557mm,05:30:21:560,05:41:37:613,00:11:16:053,Local   Machine
13,0.0365028964581853mm,0.0018614946642548mm,0.0265859561236896mm,05:41:37:681,05:52:28:681,00:10:51:000,Local   Machine
14,0.033723561324024mm,0mm,0.0604890274971083mm,05:52:28:746,06:03:27:445,00:10:58:699,Local   Machine
15,0.0301031280166244mm,0.0286786297245739mm,0.0604890274971083mm,06:03:27:514,06:14:36:248,00:11:08:734,Local   Machine
16,0.0301031280166244mm,0mm,0.0740173136123435mm,06:14:36:318,06:25:53:138,00:11:16:820,Local   Machine
17,0.0264826947092248mm,0mm,0.0604890274971083mm,06:25:53:207,06:37:12:864,00:11:19:657,Local   Machine
18,0.0301031280166244mm,-0.0286786297245739mm,0.0604890274971083mm,06:37:12:934,06:48:39:621,00:11:26:687,Local   Machine
19,0.0301031280166244mm,0mm,0.0469607413818731mm,06:48:39:695,07:00:07:901,00:11:28:206,Local   Machine
20,-0.169896871983376mm,0.000549588751611074mm,-0.0809562229773088mm,07:00:07:981,07:11:52:560,00:11:44:579,Local   Machine
21,0.0101031280166244mm,5.49588751611074e-05mm,0.0463445024496666mm,07:11:52:638,07:23:41:547,00:11:48:909,Local   Machine
22,0.0518555638576131mm,0mm,0.0740173136123435mm,07:23:41:627,07:35:39:455,00:11:57:828,Local   Machine
23,0.0301031280166244mm,0.0116774100787461mm,0.0740173136123435mm,07:35:39:540,07:47:43:046,00:12:03:506,Local   Machine
24,0.0301031280166244mm,0mm,0.0912851750751099mm,07:47:43:127,07:59:47:760,00:12:04:633,Local   Machine
25,0.0301031280166244mm,-0.0116774100787461mm,0.0740173136123435mm,07:59:47:843,08:11:59:949,00:12:12:106,Local   Machine
26,0.0301031280166244mm,0mm,0.0567494521495771mm,08:12:00:055,08:24:15:690,00:12:15:635,Local   Machine
27,-0.169896871983376mm,-0.000857457801530802mm,0.22420807725154mm,08:24:15:771,08:38:39:590,00:14:23:819,Local   Machine
28,0.00553336744628958mm,-0.000105337664413887mm,0.0924680691247975mm,08:38:39:674,08:51:22:589,00:12:42:915,Local   Machine
29,0.0605734564927068mm,0mm,0.0912851750751099mm,08:51:22:671,09:03:47:278,00:12:24:607,Local   Machine
30,0.0301031280166244mm,0.00476916458120927mm,0.0912851750751099mm,09:03:47:356,09:16:25:184,00:12:37:828,Local   Machine
31,0.0301031280166244mm,-0.00476916458120927mm,0.0912851750751099mm,09:16:25:267,09:29:03:096,00:12:37:829,Local   Machine
32,0.0301031280166244mm,0mm,0.111241794656514mm,09:29:03:190,09:42:01:226,00:12:58:036,Local   Machine
33,-0.169896871983376mm,-1.10036258263558e-05mm,0.0845781230057842mm,09:42:01:318,09:57:09:784,00:15:08:466,Local   Machine
34,0.0101031280166244mm,-1.10036258263558e-06mm,0.0906144698681773mm,09:57:09:874,10:10:09:037,00:12:59:163,Local   Machine
35,-0.000367200459458012mm,0mm,0.0912851750751099mm,10:10:09:136,10:23:28:971,00:13:19:835,Local   Machine
36,0.230103128016624mm,-1.82205281566558e-06mm,0.261481779398433mm,10:23:29:062,10:36:46:020,00:13:16:958,Local   Machine
37,0.117559325347957mm,-7.96749052974794e-07mm,0.165708914139226mm,10:36:46:119,10:49:58:920,00:13:12:801,Local   Machine
