Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X))
1,-30.800263096346,-0.00568526434465389
1.28,-30.1842129511179,-0.00682858976781343
1.56,-29.4710737000746,-0.00817354716467864
1.84,-28.6872700029243,-0.00975681855570763
2.12,-27.8561855348194,-0.0116221933449852
2.4,-26.9972991152647,-0.0138188575419873
2.68,-26.126051626078,-0.0164031596354451
2.96,-25.2542243741714,-0.0194364690522163
3.24,-24.3904786779746,-0.0229859993065112
3.52,-23.5409524615746,-0.0271244477959694
3.8,-22.7098075519293,-0.031930063695343
4.08,-21.8996954605261,-0.0374866581545896
4.36,-21.1121340150464,-0.0438840514617435
4.64,-20.3478033435021,-0.0512183333561884
4.92,-19.6067729441636,-0.0595925666190615
5.2,-18.8886739297921,-0.0691177017610876
5.48,-18.1928287531255,-0.0799135434605936
5.76,-17.5183483078705,-0.0921101870287553
6.04,-16.864204785376,-0.105849819366735
6.32,-16.2292869244323,-0.121288194469006
6.6,-15.6124416031669,-0.138597548649093
6.88,-15.0125067096766,-0.157967990395645
7.16,-14.4283362156596,-0.179611762421777
7.44,-13.8588212686521,-0.203765223235051
7.72,-13.3029073576889,-0.230692004813831
8,-12.7596084755191,-0.260688186652212
8.28,-12.2280203962702,-0.294082654934333
8.56,-11.7072981624188,-0.331236676970835
8.84,-11.1968288753517,-0.372587774094455
9.12,-10.6959139168373,-0.418567286814551
9.4,-10.2041006531302,-0.469691628339708
9.68,-9.72102418886956,-0.526522650601252
9.96,-9.24644270836369,-0.589677408395648
10.24,-8.78023763312918,-0.659832994299166
10.52,-8.32241174867723,-0.737728187523955
10.8,-7.87308491486514,-0.824162911015406
11.08,-7.43248675947185,-0.920002364039429
11.36,-7.00094728913605,-1.02617364289993
11.64,-6.57888447020251,-1.14366902668967
11.92,-6.16678984703979,-1.27354224056908
12.2,-5.76521175906385,-1.41691043706367
12.48,-5.37473707315393,-1.57494838983702
12.76,-4.99597129929288,-1.7489016672931
13.04,-4.62954206469852,-1.94004187918831
13.32,-4.27596104236764,-2.14985870348931
13.6,-3.93583970801234,-2.37972273948202
13.88,-3.6096360187333,-2.63125117492421
14.16,-3.29775631353729,-2.90617565045956
14.44,-3.00051891428444,-3.20641829697876
14.72,-2.71814487658304,-3.53416238613814
15,-2.45075303058646,-3.89196401378801
