Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_X Arm_D_X)),dB(St(Arm_D_X Coax_D_X)),dB(St(Arm_D_X Arm_D_X))
1,-30.0756512206347,-0.00633256183494634,-0.00633256183496468,-29.9523687118012
1.28,-29.1801428749743,-0.00799879240786101,-0.00799879240786487,-29.0336018695012
1.56,-28.2279853631036,-0.0100258014297749,-0.0100258014297894,-28.0629154913452
1.84,-27.2568509981852,-0.0124579926342941,-0.0124579926343008,-27.0770785755772
2.12,-26.2898129975477,-0.015347301113804,-0.0153473011138098,-26.0984385875023
2.4,-25.3402596207007,-0.0187526967174836,-0.0187526967174884,-25.1398478353199
2.68,-24.4155974854257,-0.0227396400593378,-0.0227396400593407,-24.2083111085756
2.96,-23.5196637552796,-0.0273795166113363,-0.0273795166113575,-23.3073451426536
3.24,-22.654193222262,-0.0327490800444146,-0.0327490800444059,-22.438411847227
3.52,-21.8196824382122,-0.0389299401850004,-0.0389299401849898,-21.6017646616545
3.8,-21.0158928387164,-0.0460081331988061,-0.046008133198809,-20.7969438514633
4.08,-20.242144164721,-0.0540738121540219,-0.0540738121540326,-20.0230671677577
4.36,-19.4974875528235,-0.0632210950097133,-0.0632210950097026,-19.2790022413782
4.64,-18.7808096695467,-0.0735481047006821,-0.0735481047006889,-18.5634705229243
4.92,-18.0908970625262,-0.0851572321858287,-0.0851572321858209,-17.8751112747441
5.2,-17.426477285619,-0.0981556485725159,-0.0981556485742411,-17.2125219852595
5.48,-16.7862454347644,-0.112655779139138,-0.112656518160341,-16.5742837416089
5.76,-16.1688873672636,-0.128777911836695,-0.128777902369651,-15.9589839622584
6.04,-15.5730853901603,-0.146648436157007,-0.146648436156996,-15.3652193879336
6.32,-14.9975377955083,-0.166404633097304,-0.16640463309729,-14.7916158650877
6.6,-14.440963701318,-0.188194967603911,-0.188194967603916,-14.2368314097963
6.88,-13.9021122880291,-0.212181594803717,-0.21218159480373,-13.6995647230921
7.16,-13.3797705924709,-0.238542727735263,-0.238542727735264,-13.178562322002
7.44,-12.8727712137326,-0.267475186760476,-0.267475186760469,-12.6726257775633
7.72,-12.3800000910008,-0.299197068813133,-0.299197068813137,-12.1806191898454
8,-11.9004044159757,-0.333950473016484,-0.333950473016492,-11.7014769172035
8.28,-11.4330006475577,-0.372004209484236,-0.372004209484232,-11.2342114715219
8.56,-10.9768825014532,-0.413656410030568,-0.413656410030558,-10.7779213907183
8.84,-10.5312287084074,-0.459236952615723,-0.45923695261574,-10.3317988215393
9.12,-10.095310265629,-0.509109606845039,-0.509109606845034,-9.89513648260827
9.4,-9.66849685295879,-0.563673806479838,-0.563673806479797,-9.46733363586852
9.68,-9.25026205083065,-0.623365958100211,-0.623365958100222,-9.04790067529511
9.96,-8.84018696138633,-0.688660167774226,-0.688660206147318,-8.63646191602367
10.24,-8.43796204411256,-0.760068579293285,-0.760068579293286,-8.2327564533162
10.52,-8.04338634403611,-0.838140515569344,-0.83814051556935,-7.83663613887603
10.8,-7.65636471815528,-0.923461714558418,-0.923461714558405,-7.44806157272797
11.08,-7.27690207349678,-1.01665243026507,-1.01665243026506,-7.06709491392198
11.36,-6.90509510414042,-1.11836529814828,-1.11836529814826,-6.69389020252215
11.64,-6.54112147210179,-1.22928291828288,-1.22928291828287,-6.32868114009773
11.92,-6.18522670813399,-1.35011550231511,-1.35011550231512,-5.97176666473017
12.2,-5.83770921349682,-1.48159900511046,-1.48159900511045,-5.623494752199
12.48,-5.49890385459521,-1.62449428519864,-1.62449428519863,-5.28424498344655
12.76,-5.16916472173722,-1.77958797325898,-1.77958797325901,-4.95441049637765
13.04,-4.84884766417617,-1.94769587697556,-1.94769587697557,-4.63437998180912
13.32,-4.53829320711492,-2.12966992241391,-2.12966992241392,-4.32452038122453
13.6,-4.23781040022802,-2.32640984209023,-2.32640984209023,-4.02516089841224
13.88,-3.947662037884,-2.53888109741993,-2.53888109741992,-3.73657884872797
14.16,-3.66805152546915,-2.76814091508948,-2.76814091508948,-3.45898774456893
14.44,-3.39911143278135,-3.01537489924229,-3.01537489924229,-3.1925278594337
14.72,-3.14089393741607,-3.28194474972084,-3.28194698421835,-2.93726086973893
15,-2.89335895060511,-3.56947166657566,-3.56947166696204,-2.69315762198832
